PLAYLIST_NO,PLAYLIST_NAME,SONG_TAG,USER_ID,USER_NO
2074,그래미 역대 올해의 레코드 수상자,"해외,그래미,시상식",,
2075,그래미 역대 올해의 신인 수상자,"해외,그래미,시상식,팝송",,
2076,그래미 역대 팝 솔로 퍼포먼스 수상자,"해외,그래미,해외,팝,팝송,시상식",,
2077,그래미 역대 팝 듀오/그룹 퍼포먼스 수상자,"해외,그래미,해외,팝,시상식",,
2078,그래미 역대 팝 보컬 앨범 수상작,"해외,그래미,해외,팝,팝송,시상식",,
2079,그래미 역대 댄스/일렉트로닉 앨범 수상작,"해외,일렉트로닉,시상식,그래미",,
2080,그래미 역대 댄스 레코딩 수상작,"해외,그래미,시상식,일렉트로닉,댄스",,
2081,그래미 역대 랩/노래 퍼포먼스 수상자,"해외,해외,랩/힙합,힙합,그래미,시상식",,
2082,그래미 역대 베스트 랩 노래 수상작,"해외,힙합,해외,랩/힙합,그래미,시상식",,
2083,그래미 역대 베스트 랩 앨범 수상작,"해외,해외,랩/힙합,힙합,그래미,시상식",,
2084,그래미 역대 랩 퍼포먼스 수상자,"해외,힙합,해외,랩/힙합,그래미,시상식",,
2085,사이다처럼 시원한 음악과 함께 홈캉스 즐기기!,"오늘의선곡,DJ,지니,가요,댄스,드라이브,휴가/여행,운동,기분전환,신나는,여름,더운날,국내음악",,
